Datetime,Tweet Id,Text,Username,url,replyCount,retweetCount,likeCount,lang
2021-11-27 19:00:15+00:00,1464670421161320449,"""He's beginning to believe."" https://t.co/qErKp3Uyw7",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464670421161320449,10,78,418,en
2021-11-26 21:00:17+00:00,1464338239385485326,"""If this fails, lives will be ruined."" Own Oslo, an HBO Film, on Digital today.
https://t.co/5MCKRIq75V https://t.co/davcwM39O3",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464338239385485326,5,7,57,en
2021-11-26 19:00:16+00:00,1464308038056259596,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464308038056259596,1,8,50,en
2021-11-26 19:00:15+00:00,1464308034721746946,"""There is no spoon."" https://t.co/8gsxY9kSJk",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464308034721746946,17,86,447,en
2021-11-26 19:00:13+00:00,1464308027717300233,It all leads to this. Own #MalignantMovie on Digital now &amp; on Blu-ray 11/30. https://t.co/snCzPllpNt https://t.co/29ZV3eY2jw,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464308027717300233,3,5,55,en
2021-11-26 18:00:31+00:00,1464293002176868364,"Miss your abs after Thanksgiving? Here, have some of ours... Watch Finding Magic Mike @MagicMikeonMax on @hbomax on 12/16 and catch up on Magic Mike on HBO Max or Digital. https://t.co/hpH8IeZuta https://t.co/LGMHT3k9Vn",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1464293002176868364,3,1,44,en
2021-11-25 21:00:23+00:00,1463975877247647752,That feeling when you realize gravy goes with EVERYTHING. #ScoobyDoo #MonstersUnleashed https://t.co/b1xz2MVxwa,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463975877247647752,10,13,179,en
2021-11-25 19:00:14+00:00,1463945642896773130,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463945642896773130,1,5,54,en
2021-11-25 19:00:14+00:00,1463945640082391044,Where is The Matrix? It is everywhere. https://t.co/dnACkF5UcU,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463945640082391044,6,19,161,en
2021-11-24 21:00:40+00:00,1463613563818643457,How it feels to be seated at the kids' table on Thanksgiving. #WhereTheWildThingsAre https://t.co/KUlr9iIAsU,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463613563818643457,4,8,97,en
2021-11-24 19:00:10+00:00,1463583237553463300,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463583237553463300,0,5,47,en
2021-11-24 19:00:09+00:00,1463583234118328328,The Matrix is everything and everywhere. https://t.co/OjHFnux3vW,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463583234118328328,8,30,182,en
2021-11-23 21:00:15+00:00,1463251070096977930,Own #TheMatrix Trilogy on Digital today. Watch #TheMatrixResurrections in Theaters and on HBO Max 12.22.21,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463251070096977930,1,5,50,en
2021-11-23 21:00:14+00:00,1463251064896073732,The Matrix has you under its control. https://t.co/y3QimuzPDB,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1463251064896073732,5,37,231,en
2021-11-22 19:42:16+00:00,1462869057548521472,Have you experienced it yet? Own #MalignantMovie on Digital now &amp; Blu-ray 11/30. https://t.co/snCzPllpNt https://t.co/1nhbE5Rpz9,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1462869057548521472,3,3,53,en
2021-11-21 19:00:09+00:00,1462496068826972166,"Inspired by this scene from #Elf, what's the weirdest thing you've ever cooked for yourself? https://t.co/kJQnVlOlzf",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1462496068826972166,12,11,84,en
2021-11-20 21:00:13+00:00,1462163896081522696,"What did you think of the ""hilariously sick climax""? No spoilers, please! Own #MalignantMovie on Digital Now &amp; Blu-ray 11/30. https://t.co/snCzPllpNt https://t.co/0UCfwmwHdH",WBHomeEnt,https://twitter.com/WBHomeEnt/status/1462163896081522696,4,4,51,en
2021-11-19 18:20:42+00:00,1461761365404794880,It's all about the family. Today is the day — The Many Saints of Newark is available to own now: https://t.co/Gmv6mOyIAj https://t.co/V4Bn3m8Pv4,WBHomeEnt,https://twitter.com/WBHomeEnt/status/1461761365404794880,3,6,54,en
